time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-08-30T23:37:19.339Z,4.4945,62.5197,10,5.1,mb,81,46,10.85,0.7,us,us7000i3v0,2022-08-30T23:56:07.040Z,"",earthquake,10.57,1.867,0.059,92,reviewed,us,us
2022-08-30T22:40:57.337Z,16.2265,-98.7829,10,4.5,mb,166,209,1.345,0.62,us,us7000i3ul,2022-08-31T00:34:52.040Z,"",earthquake,9.86,1.968,0.042,163,reviewed,us,us
2022-08-30T20:42:31.906Z,35.0454,31.9202,35.666,4.5,mb,100,104,1.161,1.02,us,us7000i3ss,2022-08-31T22:11:20.040Z,"45 km WNW of Pégeia, Cyprus",earthquake,5.73,7.089,0.062,81,reviewed,us,us
2022-08-30T19:06:18.998Z,-3.6804,128.8035,118.997,4.6,mb,22,94,3.522,1.13,us,us7000i3ry,2022-08-30T21:57:23.040Z,"39 km SSW of Amahai, Indonesia",earthquake,7.76,2.372,0.14,15,reviewed,us,us
2022-08-30T16:09:35.935Z,-3.7116,35.6125,10,4.6,mb,24,76,2.774,0.43,us,us7000i3ql,2022-08-31T12:26:28.510Z,"17 km NNE of Mbulu, Tanzania",earthquake,8.42,1.936,0.158,14,reviewed,us,us
2022-08-30T14:32:15.708Z,-52.397,-71.5341,11.255,4.5,mb,15,66,0.461,0.45,us,us7000i3p2,2022-08-30T20:54:11.801Z,"94 km NNW of Punta Arenas, Chile",earthquake,4.26,4.137,0.313,5,reviewed,us,us
2022-08-30T13:58:20.859Z,4.3776,62.5979,10,5.3,mww,59,86,11.463,0.89,us,us7000i3nv,2022-08-30T15:21:18.040Z,"Carlsberg Ridge",earthquake,10.77,1.87,0.08,15,reviewed,us,us
2022-08-30T10:57:00.302Z,14.6587,55.7468,10,4.5,mb,40,111,10.243,0.42,us,us7000i3n5,2022-08-30T11:45:02.040Z,"290 km NE of Hadibu, Yemen",earthquake,11.78,1.937,0.099,30,reviewed,us,us
2022-08-30T09:09:43.013Z,-54.639,-136.1712,10,6.3,mww,150,33,28.211,0.45,us,us7000i3mp,2022-08-31T09:12:54.219Z,"Pacific-Antarctic Ridge",earthquake,11.41,1.817,0.069,20,reviewed,us,us
2022-08-30T08:36:11.800Z,4.2436,62.6898,10,4.9,mb,48,64,11.417,1.12,us,us7000i3mi,2022-08-30T10:55:31.040Z,"Carlsberg Ridge",earthquake,11.66,1.881,0.086,42,reviewed,us,us
2022-08-30T08:00:00.569Z,-54.4841,-136.2046,10,5.5,mww,19,87,30.579,1.31,us,us7000i3mn,2022-08-31T08:03:29.845Z,"Pacific-Antarctic Ridge",earthquake,11.58,1.791,0.075,17,reviewed,us,us
